127.0.0.1 - - [27/Feb/2022:16:58:07 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [27/Feb/2022:17:08:30 +0530] "GET /Ebook/Register.jsp HTTP/1.1" 200 7529
0:0:0:0:0:0:0:1 - - [27/Feb/2022:17:08:30 +0530] "GET /Ebook/Register.jsp HTTP/1.1" 200 7529
0:0:0:0:0:0:0:1 - - [27/Feb/2022:17:08:30 +0530] "GET /Ebook/Register.jsp HTTP/1.1" 200 7529
0:0:0:0:0:0:0:1 - - [27/Feb/2022:17:08:30 +0530] "GET /Ebook/Register.jsp HTTP/1.1" 200 7529
0:0:0:0:0:0:0:1 - - [27/Feb/2022:17:08:30 +0530] "GET /Ebook/Register.jsp HTTP/1.1" 200 7529
0:0:0:0:0:0:0:1 - - [27/Feb/2022:17:08:30 +0530] "GET /Ebook/Register.jsp HTTP/1.1" 200 7529
0:0:0:0:0:0:0:1 - - [27/Feb/2022:17:08:31 +0530] "GET /Ebook/Register.jsp HTTP/1.1" 200 7529
0:0:0:0:0:0:0:1 - - [27/Feb/2022:17:08:42 +0530] "GET /Ebook/ HTTP/1.1" 200 17300
0:0:0:0:0:0:0:1 - - [27/Feb/2022:17:08:45 +0530] "GET /Ebook/Register.jsp HTTP/1.1" 200 7529
0:0:0:0:0:0:0:1 - - [27/Feb/2022:17:09:27 +0530] "GET /Ebook/Register.jsp HTTP/1.1" 200 7490
0:0:0:0:0:0:0:1 - - [27/Feb/2022:17:18:34 +0530] "GET /Ebook/Login.jsp HTTP/1.1" 200 6550
0:0:0:0:0:0:0:1 - - [27/Feb/2022:17:18:39 +0530] "GET /Ebook/Register.jsp HTTP/1.1" 200 7544
0:0:0:0:0:0:0:1 - - [27/Feb/2022:17:18:49 +0530] "GET /Ebook/Register.jsp?fname=Antu+Manna&email=companyjob862%40gmail.com&phone=&pass=asd&check=on HTTP/1.1" 200 7544
0:0:0:0:0:0:0:1 - - [27/Feb/2022:17:28:19 +0530] "GET /Ebook/ HTTP/1.1" 200 17300
0:0:0:0:0:0:0:1 - - [27/Feb/2022:17:28:23 +0530] "GET /Ebook/Register.jsp HTTP/1.1" 200 7434
0:0:0:0:0:0:0:1 - - [27/Feb/2022:17:28:35 +0530] "POST /Ebook/register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:17:28:36 +0530] "GET /Ebook/Login.jsp HTTP/1.1" 200 6550
0:0:0:0:0:0:0:1 - - [27/Feb/2022:17:30:01 +0530] "GET /Ebook/Register.jsp HTTP/1.1" 200 7540
0:0:0:0:0:0:0:1 - - [27/Feb/2022:17:30:04 +0530] "GET /Ebook/Register.jsp HTTP/1.1" 200 7455
0:0:0:0:0:0:0:1 - - [27/Feb/2022:17:30:44 +0530] "POST /Ebook/register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:17:30:44 +0530] "GET /Ebook/Login.jsp HTTP/1.1" 200 6550
0:0:0:0:0:0:0:1 - - [27/Feb/2022:17:30:59 +0530] "GET /Ebook/Register.jsp HTTP/1.1" 200 7540
0:0:0:0:0:0:0:1 - - [27/Feb/2022:17:32:37 +0530] "GET /Ebook/Register.jsp HTTP/1.1" 200 7446
0:0:0:0:0:0:0:1 - - [27/Feb/2022:17:34:16 +0530] "GET /Ebook/Register.jsp HTTP/1.1" 200 7453
0:0:0:0:0:0:0:1 - - [27/Feb/2022:17:36:41 +0530] "GET /Ebook/Register.jsp HTTP/1.1" 200 7456
0:0:0:0:0:0:0:1 - - [27/Feb/2022:17:47:52 +0530] "GET /Ebook/ HTTP/1.1" 200 17300
0:0:0:0:0:0:0:1 - - [27/Feb/2022:17:47:55 +0530] "GET /Ebook/Register.jsp HTTP/1.1" 200 7522
0:0:0:0:0:0:0:1 - - [27/Feb/2022:17:49:37 +0530] "GET /Ebook/Register.jsp HTTP/1.1" 200 7544
0:0:0:0:0:0:0:1 - - [27/Feb/2022:17:51:38 +0530] "GET /Ebook/ HTTP/1.1" 200 17300
0:0:0:0:0:0:0:1 - - [27/Feb/2022:17:51:41 +0530] "GET /Ebook/Register.jsp HTTP/1.1" 200 7546
0:0:0:0:0:0:0:1 - - [27/Feb/2022:17:53:07 +0530] "GET /Ebook/ HTTP/1.1" 200 17300
0:0:0:0:0:0:0:1 - - [27/Feb/2022:17:53:11 +0530] "GET /Ebook/Register.jsp HTTP/1.1" 200 7547
0:0:0:0:0:0:0:1 - - [27/Feb/2022:17:58:49 +0530] "GET /Ebook/Register.jsp HTTP/1.1" 200 7545
0:0:0:0:0:0:0:1 - - [27/Feb/2022:18:07:31 +0530] "GET /Ebook/Register.jsp HTTP/1.1" 200 7676
0:0:0:0:0:0:0:1 - - [27/Feb/2022:18:08:23 +0530] "GET /Ebook/Register.jsp HTTP/1.1" 200 7676
0:0:0:0:0:0:0:1 - - [27/Feb/2022:18:09:40 +0530] "GET /Ebook/Register.jsp HTTP/1.1" 200 7711
0:0:0:0:0:0:0:1 - - [27/Feb/2022:18:11:19 +0530] "GET /Ebook/Register.jsp HTTP/1.1" 200 7708
0:0:0:0:0:0:0:1 - - [27/Feb/2022:18:15:42 +0530] "GET /Ebook/Register.jsp HTTP/1.1" 200 7758
0:0:0:0:0:0:0:1 - - [27/Feb/2022:18:16:45 +0530] "GET /Ebook/Register.jsp HTTP/1.1" 200 7757
0:0:0:0:0:0:0:1 - - [27/Feb/2022:18:17:30 +0530] "GET /Ebook/Register.jsp HTTP/1.1" 200 7757
0:0:0:0:0:0:0:1 - - [27/Feb/2022:18:18:32 +0530] "GET /Ebook/Register.jsp HTTP/1.1" 200 7806
0:0:0:0:0:0:0:1 - - [27/Feb/2022:18:22:00 +0530] "GET /Ebook/Register.jsp HTTP/1.1" 200 7679
0:0:0:0:0:0:0:1 - - [27/Feb/2022:18:26:59 +0530] "GET /Ebook/Register.jsp HTTP/1.1" 200 7808
0:0:0:0:0:0:0:1 - - [27/Feb/2022:18:29:02 +0530] "GET /Ebook/Register.jsp HTTP/1.1" 200 7788
0:0:0:0:0:0:0:1 - - [27/Feb/2022:18:36:08 +0530] "GET /Ebook/Register.jsp HTTP/1.1" 200 7877
0:0:0:0:0:0:0:1 - - [27/Feb/2022:18:41:19 +0530] "GET /Ebook/Login.jsp HTTP/1.1" 200 6550
0:0:0:0:0:0:0:1 - - [27/Feb/2022:18:41:28 +0530] "POST /Ebook/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:18:41:28 +0530] "GET /Ebook/index.jsp HTTP/1.1" 200 17416
0:0:0:0:0:0:0:1 - - [27/Feb/2022:18:41:47 +0530] "GET /Ebook/viewbook.jsp?bid=21 HTTP/1.1" 200 6705
0:0:0:0:0:0:0:1 - - [27/Feb/2022:18:42:14 +0530] "GET /Ebook/index.jsp HTTP/1.1" 200 17416
0:0:0:0:0:0:0:1 - - [27/Feb/2022:18:42:18 +0530] "GET /Ebook/setting.jsp HTTP/1.1" 200 7535
0:0:0:0:0:0:0:1 - - [27/Feb/2022:18:42:41 +0530] "GET /Ebook/oldbooksellsetting.jsp HTTP/1.1" 200 6012
0:0:0:0:0:0:0:1 - - [27/Feb/2022:18:42:50 +0530] "GET /Ebook/delete_old_book?ema=antu@gmail.com&&id1=21 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:18:42:50 +0530] "GET /Ebook/oldbooksellsetting.jsp HTTP/1.1" 200 5851
0:0:0:0:0:0:0:1 - - [27/Feb/2022:18:42:56 +0530] "GET /Ebook/setting.jsp HTTP/1.1" 200 7535
0:0:0:0:0:0:0:1 - - [27/Feb/2022:18:42:57 +0530] "GET /Ebook/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:18:42:57 +0530] "GET /Ebook/Login.jsp HTTP/1.1" 200 6629
0:0:0:0:0:0:0:1 - - [27/Feb/2022:18:43:08 +0530] "POST /Ebook/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:18:43:08 +0530] "GET /Ebook/Login.jsp HTTP/1.1" 200 6633
0:0:0:0:0:0:0:1 - - [27/Feb/2022:18:43:17 +0530] "POST /Ebook/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:18:43:17 +0530] "GET /Ebook/admin/Home.jsp HTTP/1.1" 200 6551
0:0:0:0:0:0:0:1 - - [27/Feb/2022:18:43:17 +0530] "GET /Ebook/admin/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:18:43:31 +0530] "GET /Ebook/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:18:43:31 +0530] "GET /Ebook/Login.jsp HTTP/1.1" 200 6629
0:0:0:0:0:0:0:1 - - [27/Feb/2022:18:43:36 +0530] "GET /Ebook/Login.jsp HTTP/1.1" 200 6550
